City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Ahmedabad,67.72823442106079,117.40931751872162,20.95681451676251,49.80567481790203,42.914773150743535,23.48347601937197,16.147419765720826,42.28114755788073,37.565151754967715,4.9010034181551925,23.16307093810751,3.9644907250240315,310.30476231034754
Aizawl,18.020629698210673,24.191567282573285,9.408053097345132,0.3884955752212389,12.610353982300886,22.308938053097343,0.2836283185840708,7.378053097345133,6.159494462651913,8.942677916526627,10.042075939827951,3.0701278234985114,34.36155666194388
Amaravati,39.61439968347558,78.77745600546054,5.195930737551646,22.545011827930583,16.359465597601332,12.653292514264415,0.7932113841023183,14.27704366102434,37.90552962792167,0.7620641670216024,2.4157548959019897,1.5723705410316504,87.11854123836686
Amritsar,56.724458621998025,115.35349507341459,18.640089974257766,18.883864863791636,34.857941558769305,14.688850116964474,0.6569479638742889,9.027176231771394,23.553459872796576,4.038324209154475,4.019816610129314,6.608392486818332,112.72459979455584
Bengaluru,38.118528810622124,89.49424442761637,9.433523333983164,27.99673168460267,19.742163510867236,22.129380603251622,1.840878337630633,5.545939205343683,32.984443000734025,3.230270543054831,4.93594345616897,3.0701278234985114,91.06185604498964
Bhopal,50.60115986692086,119.287037807533,7.365372204007835,31.258601839273847,22.736650899645788,19.209450810291862,0.9230013283106246,13.11051140243318,59.06129022242099,3.280840304500585,8.700972080037227,3.0701278234985114,128.84543552951286
Brajrajnagar,64.72679842275807,123.09411386676457,17.37251525359609,19.524151620792864,25.991616826532308,33.48213814539239,1.870287560088318,10.760310885277848,20.47175947391284,4.5545259836658865,8.700972080037227,3.0701278234985114,121.37713158216175
Chandigarh,42.42894299089982,85.65654605263158,10.594503021868809,11.834087619225354,15.28564635964566,30.537219605900393,0.6313486842105264,10.159374999999999,20.047203947368423,5.065723684210527,1.3987500000000002,2.6230592105263155,95.20446593581325
Chennai,51.417111806879866,109.81530846333686,9.340801527044828,17.06733386072701,17.930302857138145,54.26110299698848,1.0820482604415829,7.996431648189526,32.49375813504251,1.932160023286544,3.3645275939519257,3.0701278234985114,109.13193427975135
Coimbatore,29.945348765780373,39.43554331739759,8.830155780859107,28.77815349656061,30.901778480135444,14.012273446587441,0.9594191570654322,8.64796873514956,28.877446350845997,0.034566116356222164,0.1064324254925173,3.0701278234985114,67.07810650992849
Delhi,117.14663073962062,228.41374660312104,38.96428046755802,50.76305690299764,58.56702339472374,41.914211689484496,1.9760527625684419,15.82628048688407,50.61982586358564,3.5444798407167744,17.185042309606768,2.0726977750882716,258.3363234115739
Ernakulam,25.994273529602545,50.05887908471065,23.045301966963688,12.157631162728288,24.48565736624865,20.705517926404244,1.643175264421867,3.4642463519977764,34.49143047551845,0.6697738346790267,1.4517523970379562,0.22438587218514844,88.57056452066081
Gurugram,112.54973139019123,150.46731962597005,17.537607321834457,23.797950942414097,30.16657757388194,23.668530428957876,1.3218565841514784,9.952546765803598,34.4150422484575,2.1339674893324947,6.8416753834560495,3.258111616830064,198.75999223817368
Guwahati,63.69292943814522,116.60490039840639,20.038455636776952,13.598606890560015,44.28177116201807,11.09283560960034,0.7382840601774614,14.66412744473289,25.089026753935297,4.038776657632478,8.700972080037227,3.0701278234985114,139.0249300354657
Hyderabad,48.20572106885536,96.56733875395183,7.953391042141985,28.389181681810346,19.483665933864156,17.512662695400753,0.5949117602419881,9.243161220664836,33.622416347140316,1.3067780252600072,7.926871113741141,1.7707558492444222,104.01489684705818
Jaipur,54.640203712196445,123.41619339410317,14.67523848706685,32.37014293254558,38.900423530793425,26.472694919470896,0.8099911916190299,11.108342663438886,46.55087204410483,1.6049358049362772,6.727183445099512,3.0701278234985114,131.72304367870262
Jorapokhar,66.40608774990027,142.24050753290408,12.5302198535055,13.781597901201264,32.30912333307031,12.193198610033264,1.3588459206680243,27.906316524229595,32.94324256612697,3.280840304500585,8.700972080037227,3.0701278234985114,114.98358776292604
Kochi,31.42851851851852,67.33543209876544,71.10252752669173,15.449962681276306,68.4129012345679,9.542503804382417,1.2966666666666666,17.59598765432099,3.819691358024691,3.2808403045005847,0.0020370370370370373,3.0701278234985114,102.462167629893
Kolkata,64.57146411202662,115.7982563405319,26.550753035887915,40.03271065912552,63.3275419205566,18.370380835380836,0.7992506142506143,8.859757481408375,30.898380250338974,10.860492432806511,15.386979081179406,2.8262575993481263,132.2013842466096
Lucknow,107.56827722786865,118.12710293078135,15.261300901885866,33.18844988425438,24.103178675915768,26.404290653782706,2.131976480763762,10.095652834434164,36.88489229608711,2.906805968215808,5.204266900390773,3.0701278234985114,207.06079787145444
Mumbai,54.86435937650884,110.00639634233626,22.705651687526366,27.42968929994628,49.3931471096078,21.587083272905108,0.5892707591971829,14.79335602399709,33.92314272589764,1.3267130233674083,4.307483959918848,1.5230647369624293,58.78461638521519
Patna,113.81535281033256,119.01331570807993,30.283315458230334,36.507494321027934,44.4618364029135,22.957973371524798,1.5916998544520602,21.293910300033122,36.83652727244033,1.8079949043994084,10.215445731887211,5.17123357677166,195.32911581292794
Shillong,38.385603189450954,59.099258394270684,4.087416290515266,7.663125434214486,4.334874419326839,6.747564790783698,0.4535281964510493,8.002731521997218,29.148387440738816,34.69060558080167,35.37275177652021,3.0701278234985114,43.100568797830945
Talcher,62.60792037037639,156.5526393779566,28.071044251249592,17.343336553048847,31.965452151306994,13.920731394165607,1.9118621999401848,25.59656176555104,20.36223973012175,0.9085000144698822,7.130158742344019,3.0701278234985114,137.5944099423106
